6.8563 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
6.8570 	INFO 	Loaded monitor calibration from ['2025_03_03 13:02']
7.5547 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022880009600>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022880009660>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000228800D54B0>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.5547 	EXP 	window1: backgroundImage = ''
7.5548 	EXP 	window1: backgroundFit = 'none'
7.5665 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5674 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5684 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5696 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5708 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5713 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5721 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5732 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5736 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5740 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5748 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5756 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5764 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5772 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5779 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5787 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5796 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5801 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5806 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5817 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5822 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5825 	DEBUG 	Uploading Texture Font fontname to graphics card
7.5856 	DEBUG 	Upload of Texture Font fontname complete
7.5922 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5935 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5948 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.5951 	DEBUG 	Uploading Texture Font fontname to graphics card
7.5962 	DEBUG 	Upload of Texture Font fontname complete
7.5986 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.5987 	EXP 	window1: recordFrameIntervals = False
7.7781 	EXP 	window1: recordFrameIntervals = True
7.9618 	EXP 	Screen (0) actual frame rate measured at 59.96Hz
7.9618 	EXP 	window1: recordFrameIntervals = False
7.9759 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9771 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9789 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9813 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9834 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9856 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9862 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9874 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9887 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9899 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
